taxlevel	rankID	taxon	daughterlevels	total	G1	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G2	G20	G21	G22	G23	G24	G25	G26	G3	G4	G5	G6	G7	G8	G9
0	0	Root	1	539030	20459	21215	19490	20987	21267	25613	20076	21661	19458	19959	20480	21118	17772	20646	22518	18459	16858	21807	15015	22515	20310	27212	24712	23003	20140	16280
1	0.1	Eukaryota	1	539030	20459	21215	19490	20987	21267	25613	20076	21661	19458	19959	20480	21118	17772	20646	22518	18459	16858	21807	15015	22515	20310	27212	24712	23003	20140	16280
2	0.1.1	Metazoa	1	539030	20459	21215	19490	20987	21267	25613	20076	21661	19458	19959	20480	21118	17772	20646	22518	18459	16858	21807	15015	22515	20310	27212	24712	23003	20140	16280
3	0.1.1.1	Ecdysozoa	1	539030	20459	21215	19490	20987	21267	25613	20076	21661	19458	19959	20480	21118	17772	20646	22518	18459	16858	21807	15015	22515	20310	27212	24712	23003	20140	16280
4	0.1.1.1.1	Nematoda	2	539030	20459	21215	19490	20987	21267	25613	20076	21661	19458	19959	20480	21118	17772	20646	22518	18459	16858	21807	15015	22515	20310	27212	24712	23003	20140	16280
5	0.1.1.1.1.1	Chromadorea	1	539029	20459	21215	19490	20986	21267	25613	20076	21661	19458	19959	20480	21118	17772	20646	22518	18459	16858	21807	15015	22515	20310	27212	24712	23003	20140	16280
6	0.1.1.1.1.1.1	Rhabditida	2	539029	20459	21215	19490	20986	21267	25613	20076	21661	19458	19959	20480	21118	17772	20646	22518	18459	16858	21807	15015	22515	20310	27212	24712	23003	20140	16280
7	0.1.1.1.1.1.1.1	Rhabditoidea	1	9	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
8	0.1.1.1.1.1.1.1.1	Rhabditidae	1	9	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
9	0.1.1.1.1.1.1.1.1.1	Rhabditinae	1	9	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
10	0.1.1.1.1.1.1.1.1.1.1	Rhabditella	1	9	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
11	0.1.1.1.1.1.1.1.1.1.1.1	unclassified	1	9	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
12	0.1.1.1.1.1.1.1.1.1.1.1.1	unclassified	0	9	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
7	0.1.1.1.1.1.1.2	Strongylida	3	539020	20459	21215	19490	20986	21260	25613	20076	21661	19458	19959	20480	21118	17772	20646	22518	18459	16858	21807	15013	22515	20310	27212	24712	23003	20140	16280
8	0.1.1.1.1.1.1.2.1	Ancylostomatoidea	1	6045	0	0	0	0	0	0	0	0	0	0	5	0	4848	0	0	0	0	0	0	1	1	0	0	0	1190	0
9	0.1.1.1.1.1.1.2.1.1	Ancylostomatidae	1	6045	0	0	0	0	0	0	0	0	0	0	5	0	4848	0	0	0	0	0	0	1	1	0	0	0	1190	0
10	0.1.1.1.1.1.1.2.1.1.1	Bunostominae	1	6045	0	0	0	0	0	0	0	0	0	0	5	0	4848	0	0	0	0	0	0	1	1	0	0	0	1190	0
